MyUnknownColumn,CHANNEL_DIM_SKEY,FOLIO_DIM_SKEY,KARVY_REF_NO,FOLIO_ID,SCHEME_CODE,SCHEME_PLAN,TRXN_PIN_CODE,TRXN_CAT,TRXN_TYPE,TXN_SUB_TYPE,INSTRUMENT_TYPE,INSTRUMENT_BANK,LOAD_PERCENTAGE,TRXN_DATE,TXN_PROCESSING_DATE,TRXN_BATCH_CLOSE_DATE,TRXN_STATUS,NO_OF_UNITS,PRICE_PER_UNIT,APPLICABLE_NAV_DATE,APPLICABLE_NAV,APPLICABLE_POP,GROSS_AMOUNT,REMARKS,RECORD_VALID_FLAG,INVESTOR_LOCATION,PIN_CODE_DIM_SKEY,ONLINE_OFFLINE_FLAG,INVESTOR_TYPE,TRXN_PROCESS_FLAG,TRXN_CLASSIFICATION,MF_SALES_TRXN_FACT_SKEY,CHANNEL_ID,RIA_CODE,is_excluded,is_reversal
1,4172941,13432740,33426505,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-04-20,2020-04-21,2020-04-21,0,74.047,0,2020-04-20,27.01,27.01,2000,,Y,110018,4241941,OFFLINE,Retail,,SIP,51542431,ARN-11352,,0,0
2,4172941,13432740,33426505,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-12-21,2020-12-22,2020-12-22,0,54.553,0,2020-12-21,36.66,36.66,1999.9,,Y,110018,8493344,OFFLINE,Retail,,SIP,146307895,ARN-11352,,0,0
3,4172941,13432740,9681458,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-12-10,2020-12-11,2020-12-11,0,27.314,0,2020-12-10,36.61,36.61,999.95,,Y,110018,8256044,OFFLINE,Retail,,SIP,142345096,ARN-11352,,0,0
4,4172941,13432740,33426505,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-11-20,2020-11-21,2020-11-23,0,56.88,0,2020-11-20,35.16,35.16,1999.9,,Y,110018,7998944,OFFLINE,Retail,,SIP,134864747,ARN-11352,,0,0
5,4172941,13432740,9681458,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-05-11,2020-05-12,2020-05-12,0,37.425,0,2020-05-11,26.72,26.72,1000,,Y,110018,4577749,OFFLINE,Retail,,SIP,30337953,ARN-11352,,0,0
6,4172941,13432740,9681458,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-09-10,2020-09-11,2020-09-11,0,32.225,0,2020-09-10,31.03,31.03,999.95,,Y,110018,6634449,OFFLINE,Retail,,SIP,52000325,ARN-11352,,0,0
7,4172941,13432740,33426505,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-07-20,2020-07-21,2020-07-21,0,66.112,0,2020-07-20,30.25,30.25,1999.9,,Y,110018,5744524,OFFLINE,Retail,,SIP,51734580,ARN-11352,,0,0
8,4172941,13432740,9681458,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-10-12,2020-10-13,2020-10-13,0,31.006,0,2020-10-12,32.25,32.25,999.95,,Y,110018,7227719,OFFLINE,Retail,,SIP,52686653,ARN-11352,,0,0
9,4172941,13432740,9681458,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-07-10,2020-07-11,2020-07-13,0,33.748,0,2020-07-10,29.63,29.63,999.95,,Y,110018,5685189,OFFLINE,Retail,,SIP,51331712,ARN-11352,,0,0
10,4172941,13432740,33426505,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-10-20,2020-10-21,2020-10-21,0,62.147,0,2020-10-20,32.18,32.18,1999.9,,Y,110018,7385919,OFFLINE,Retail,,SIP,52408752,ARN-11352,,0,0
